input,the_rank,recommendation,type1,type2,abilities,generation,learn_more
Lurantis,5,Trevenant,ghost,grass,"Natural Cure, Frisk, Harvest",6,https://pokemondb.net/pokedex/Trevenant
Lurantis,6,Huntail,water,,"Swift Swim, Water Veil",3,https://pokemondb.net/pokedex/Huntail
Lurantis,7,Parasect,bug,grass,"Effect Spore, Dry Skin, Damp",1,https://pokemondb.net/pokedex/Parasect
Lurantis,8,Octillery,water,,"Suction Cups, Sniper, Moody",2,https://pokemondb.net/pokedex/Octillery
Lurantis,9,Toucannon,normal,flying,"Keen Eye, Skill Link, Sheer Force",7,https://pokemondb.net/pokedex/Toucannon
Lurantis,10,Incineroar,fire,dark,"Blaze, Intimidate",7,https://pokemondb.net/pokedex/Incineroar
Luvdisc,1,Voltorb,electric,,"Soundproof, Static, Aftermath",1,https://pokemondb.net/pokedex/Voltorb
Luvdisc,2,Skiploom,grass,flying,"Chlorophyll, Leaf Guard, Infiltrator",2,https://pokemondb.net/pokedex/Skiploom
Luvdisc,3,Pikachu,electric,,"Static, Lightningrod",1,https://pokemondb.net/pokedex/Pikachu
Luvdisc,4,Meowth,normal,dark,"Pickup, Technician, Unnerve, Pickup, Technician, Rattled",1,https://pokemondb.net/pokedex/Meowth
Luvdisc,5,Cottonee,grass,fairy,"Prankster, Infiltrator, Chlorophyll",5,https://pokemondb.net/pokedex/Cottonee
Luvdisc,6,Poliwag,water,,"Water Absorb, Damp, Swift Swim",1,https://pokemondb.net/pokedex/Poliwag
Luvdisc,7,Staryu,water,,"Illuminate, Natural Cure, Analytic",1,https://pokemondb.net/pokedex/Staryu
Luvdisc,8,Finneon,water,,"Swift Swim, Storm Drain, Water Veil",4,https://pokemondb.net/pokedex/Finneon
Luvdisc,9,Cutiefly,bug,fairy,"Honey Gather, Shield Dust, Sweet Veil",7,https://pokemondb.net/pokedex/Cutiefly
Luvdisc,10,Vulpix,fire,ice,"Flash Fire, Drought, Snow Cloak, Snow Warning",1,https://pokemondb.net/pokedex/Vulpix
Luxio,1,Larvesta,bug,fire,"Flame Body, Swarm",5,https://pokemondb.net/pokedex/Larvesta
Luxio,2,Nidorino,poison,,"Poison Point, Rivalry, Hustle",1,https://pokemondb.net/pokedex/Nidorino
Luxio,3,Growlithe,fire,,"Intimidate, Flash Fire, Justified",1,https://pokemondb.net/pokedex/Growlithe
Luxio,4,Farfetch'd,normal,flying,"Keen Eye, Inner Focus, Defiant",1,https://pokemondb.net/pokedex/Farfetch'd
Luxio,5,Mienfoo,fighting,,"Inner Focus, Regenerator, Reckless",5,https://pokemondb.net/pokedex/Mienfoo
Luxio,6,Tranquill,normal,flying,"Big Pecks, Super Luck, Rivalry",5,https://pokemondb.net/pokedex/Tranquill
Luxio,7,Kricketune,bug,,"Swarm, Technician",4,https://pokemondb.net/pokedex/Kricketune
Luxio,8,Krokorok,ground,dark,"Intimidate, Moxie, Anger Point",5,https://pokemondb.net/pokedex/Krokorok
Luxio,9,Nuzleaf,grass,dark,"Chlorophyll, Early Bird, Pickpocket",3,https://pokemondb.net/pokedex/Nuzleaf
Luxio,10,Stufful,normal,fighting,"Fluffy, Klutz, Cute Charm",7,https://pokemondb.net/pokedex/Stufful
Luxray,1,Toucannon,normal,flying,"Keen Eye, Skill Link, Sheer Force",7,https://pokemondb.net/pokedex/Toucannon
Luxray,2,Eelektross,electric,,Levitate,5,https://pokemondb.net/pokedex/Eelektross
Luxray,3,Ursaring,normal,,"Guts, Quick Feet, Unnerve",2,https://pokemondb.net/pokedex/Ursaring
Luxray,4,Incineroar,fire,dark,"Blaze, Intimidate",7,https://pokemondb.net/pokedex/Incineroar
Luxray,5,Feraligatr,water,,"Torrent, Sheer Force",2,https://pokemondb.net/pokedex/Feraligatr
Luxray,6,Octillery,water,,"Suction Cups, Sniper, Moody",2,https://pokemondb.net/pokedex/Octillery
Luxray,7,Pangoro,fighting,dark,"Iron Fist, Mold Breaker, Scrappy",6,https://pokemondb.net/pokedex/Pangoro
Luxray,8,Trevenant,ghost,grass,"Natural Cure, Frisk, Harvest",6,https://pokemondb.net/pokedex/Trevenant
Luxray,9,Carnivine,grass,,Levitate,4,https://pokemondb.net/pokedex/Carnivine
Luxray,10,Komala,normal,,Comatose,7,https://pokemondb.net/pokedex/Komala
Lycanroc,1,Braviary,normal,flying,"Keen Eye, Sheer Force, Defiant",5,https://pokemondb.net/pokedex/Braviary
Lycanroc,2,Krookodile,ground,dark,"Intimidate, Moxie, Anger Point",5,https://pokemondb.net/pokedex/Krookodile
Lycanroc,3,Garbodor,poison,,"Stench, Weak Armor, Aftermath",5,https://pokemondb.net/pokedex/Garbodor
Lycanroc,4,Stoutland,normal,,"Intimidate, Sand Rush, Scrappy",5,https://pokemondb.net/pokedex/Stoutland
Lycanroc,5,Solrock,rock,psychic,Levitate,3,https://pokemondb.net/pokedex/Solrock
Lycanroc,6,Sawk,fighting,,"Sturdy, Inner Focus, Mold Breaker",5,https://pokemondb.net/pokedex/Sawk
Lycanroc,7,Malamar,dark,psychic,"Contrary, Suction Cups, Infiltrator",6,https://pokemondb.net/pokedex/Malamar
Lycanroc,8,Trevenant,ghost,grass,"Natural Cure, Frisk, Harvest",6,https://pokemondb.net/pokedex/Trevenant
Lycanroc,9,Toucannon,normal,flying,"Keen Eye, Skill Link, Sheer Force",7,https://pokemondb.net/pokedex/Toucannon
Lycanroc,10,Golurk,ground,ghost,"Iron Fist, Klutz, No Guard",5,https://pokemondb.net/pokedex/Golurk
Machamp,1,Beartic,ice,,"Snow Cloak, Slush Rush, Swift Swim",5,https://pokemondb.net/pokedex/Beartic
Machamp,2,Golurk,ground,ghost,"Iron Fist, Klutz, No Guard",5,https://pokemondb.net/pokedex/Golurk
Machamp,3,Ursaring,normal,,"Guts, Quick Feet, Unnerve",2,https://pokemondb.net/pokedex/Ursaring
Machamp,4,Pangoro,fighting,dark,"Iron Fist, Mold Breaker, Scrappy",6,https://pokemondb.net/pokedex/Pangoro
Machamp,5,Trevenant,ghost,grass,"Natural Cure, Frisk, Harvest",6,https://pokemondb.net/pokedex/Trevenant
Machamp,6,Toucannon,normal,flying,"Keen Eye, Skill Link, Sheer Force",7,https://pokemondb.net/pokedex/Toucannon
Machamp,7,Druddigon,dragon,,"Rough Skin, Sheer Force, Mold Breaker",5,https://pokemondb.net/pokedex/Druddigon
Machamp,8,Incineroar,fire,dark,"Blaze, Intimidate",7,https://pokemondb.net/pokedex/Incineroar
Machamp,9,Crabominable,fighting,ice,"Hyper Cutter, Iron Fist, Anger Point",7,https://pokemondb.net/pokedex/Crabominable
Machamp,10,Armaldo,rock,bug,"Battle Armor, Swift Swim",3,https://pokemondb.net/pokedex/Armaldo
Machoke,1,Mudbray,ground,,"Own Tempo, Stamina, Inner Focus",7,https://pokemondb.net/pokedex/Mudbray
Machoke,2,Gumshoos,normal,,"Stakeout, Strong Jaw, Adaptability",7,https://pokemondb.net/pokedex/Gumshoos
Machoke,3,Ariados,bug,poison,"Swarm, Insomnia, Sniper",2,https://pokemondb.net/pokedex/Ariados
Machoke,4,Grotle,grass,,"Overgrow, Shell Armor",4,https://pokemondb.net/pokedex/Grotle
Machoke,5,Gurdurr,fighting,,"Guts, Sheer Force, Iron Fist",5,https://pokemondb.net/pokedex/Gurdurr
Machoke,6,Marshtomp,water,ground,"Torrent, Damp",3,https://pokemondb.net/pokedex/Marshtomp
Machoke,7,Granbull,fairy,,"Intimidate, Quick Feet, Rattled",2,https://pokemondb.net/pokedex/Granbull
Machoke,8,Pupitar,rock,ground,Shed Skin,2,https://pokemondb.net/pokedex/Pupitar
Machoke,9,Piloswine,ice,ground,"Oblivious, Snow Cloak, Thick Fat",2,https://pokemondb.net/pokedex/Piloswine
Machoke,10,Zweilous,dark,dragon,Hustle,5,https://pokemondb.net/pokedex/Zweilous
Machop,1,Timburr,fighting,,"Guts, Sheer Force, Iron Fist",5,https://pokemondb.net/pokedex/Timburr
Machop,2,Snubbull,fairy,,"Intimidate, Run Away, Rattled",2,https://pokemondb.net/pokedex/Snubbull
Machop,3,Golett,ground,ghost,"Iron Fist, Klutz, No Guard",5,https://pokemondb.net/pokedex/Golett
Machop,4,Gible,dragon,ground,"Sand Veil, Rough Skin",4,https://pokemondb.net/pokedex/Gible
Machop,5,Grimer,poison,poison,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power of Alchemy",1,https://pokemondb.net/pokedex/Grimer
Machop,6,Pancham,fighting,,"Iron Fist, Mold Breaker, Scrappy",6,https://pokemondb.net/pokedex/Pancham
Machop,7,Slakoth,normal,,Truant,3,https://pokemondb.net/pokedex/Slakoth
Machop,8,Teddiursa,normal,,"Pickup, Quick Feet, Honey Gather",2,https://pokemondb.net/pokedex/Teddiursa
Machop,9,Stufful,normal,fighting,"Fluffy, Klutz, Cute Charm",7,https://pokemondb.net/pokedex/Stufful
Machop,10,Tepig,fire,,"Blaze, Thick Fat",5,https://pokemondb.net/pokedex/Tepig
Magby,1,Elekid,electric,,"Static, Vital Spirit",2,https://pokemondb.net/pokedex/Elekid
Magby,2,Ponyta,fire,,"Run Away, Flash Fire, Flame Body",1,https://pokemondb.net/pokedex/Ponyta
Magby,3,Grovyle,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Grovyle
Magby,4,Monferno,fire,fighting,"Blaze, Iron Fist",4,https://pokemondb.net/pokedex/Monferno
Magby,5,Frogadier,water,,"Torrent, Protean",6,https://pokemondb.net/pokedex/Frogadier
Magby,6,Murkrow,dark,flying,"Insomnia, Super Luck, Prankster",2,https://pokemondb.net/pokedex/Murkrow
Magby,7,Fletchinder,fire,flying,"Flame Body, Gale Wings",6,https://pokemondb.net/pokedex/Fletchinder
Magby,8,Torracat,fire,,"Blaze, Intimidate",7,https://pokemondb.net/pokedex/Torracat
Magby,9,Yanma,bug,flying,"Speed Boost, Compoundeyes, Frisk",2,https://pokemondb.net/pokedex/Yanma
Magby,10,Charmeleon,fire,,"Blaze, Solar Power",1,https://pokemondb.net/pokedex/Charmeleon
Magcargo,1,Turtonator,fire,dragon,Shell Armor,7,https://pokemondb.net/pokedex/Turtonator
Magcargo,2,Cofagrigus,ghost,,Mummy,5,https://pokemondb.net/pokedex/Cofagrigus
Magcargo,3,Corsola,water,rock,"Hustle, Natural Cure, Regenerator",2,https://pokemondb.net/pokedex/Corsola
Magcargo,4,Omastar,rock,water,"Swift Swim, Shell Armor, Weak Armor",1,https://pokemondb.net/pokedex/Omastar
Magcargo,5,Palossand,ghost,ground,"Water Compaction, Sand Veil",7,https://pokemondb.net/pokedex/Palossand
Magcargo,6,Wormadam,bug,grass,"Anticipation, Overcoat",4,https://pokemondb.net/pokedex/Wormadam
Magcargo,7,Pelipper,water,flying,"Keen Eye, Drizzle, Rain Dish",3,https://pokemondb.net/pokedex/Pelipper
Magcargo,8,Vespiquen,bug,flying,"Pressure, Unnerve",4,https://pokemondb.net/pokedex/Vespiquen
Magcargo,9,Shiinotic,grass,fairy,"Illuminate, Effect Spore, Rain Dish",7,https://pokemondb.net/pokedex/Shiinotic
Magcargo,10,Klang,steel,,"Plus, Minus, Clear Body",5,https://pokemondb.net/pokedex/Klang
Magearna,1,Blastoise,water,,"Torrent, Rain Dish",1,https://pokemondb.net/pokedex/Blastoise
Magearna,2,Venusaur,grass,poison,"Overgrow, Chlorophyll",1,https://pokemondb.net/pokedex/Venusaur
Magearna,3,Heatran,fire,steel,"Flash Fire, Flame Body",4,https://pokemondb.net/pokedex/Heatran
Magearna,4,Altaria,dragon,flying,"Natural Cure, Cloud Nine",3,https://pokemondb.net/pokedex/Altaria
Magearna,5,Volcanion,fire,water,Water Absorb,6,https://pokemondb.net/pokedex/Volcanion
Magearna,6,Mesprit,psychic,,Levitate,4,https://pokemondb.net/pokedex/Mesprit
Magearna,7,Celesteela,steel,flying,Beast Boost,7,https://pokemondb.net/pokedex/Celesteela
Magearna,8,Kommo-o,dragon,fighting,"Bulletproof, Soundproof, Overcoat",7,https://pokemondb.net/pokedex/Kommo-o
Magearna,9,Necrozma,psychic,,Prism Armor,7,https://pokemondb.net/pokedex/Necrozma
Magearna,10,Ampharos,electric,,"Static, Plus",2,https://pokemondb.net/pokedex/Ampharos
Magikarp,1,Wimpod,bug,water,Wimp Out,7,https://pokemondb.net/pokedex/Wimpod
Magikarp,2,Combee,bug,flying,"Honey Gather, Hustle",4,https://pokemondb.net/pokedex/Combee
Magikarp,3,Zigzagoon,normal,,"Pickup, Gluttony, Quick Feet",3,https://pokemondb.net/pokedex/Zigzagoon
Magikarp,4,Venipede,bug,poison,"Poison Point, Swarm, Speed Boost",5,https://pokemondb.net/pokedex/Venipede
Magikarp,5,Bunnelby,normal,,"Pickup, Cheek Pouch, Huge Power",6,https://pokemondb.net/pokedex/Bunnelby
Magikarp,6,Cottonee,grass,fairy,"Prankster, Infiltrator, Chlorophyll",5,https://pokemondb.net/pokedex/Cottonee
Magikarp,7,Feebas,water,,"Swift Swim, Oblivious, Adaptability",3,https://pokemondb.net/pokedex/Feebas
Magikarp,8,Weedle,bug,poison,"Shield Dust, Run Away",1,https://pokemondb.net/pokedex/Weedle
Magikarp,9,Rattata,normal,dark,"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat",1,https://pokemondb.net/pokedex/Rattata
Magikarp,10,Smeargle,normal,,"Own Tempo, Technician, Moody",2,https://pokemondb.net/pokedex/Smeargle
Magmar,1,Electabuzz,electric,,"Static, Vital Spirit",1,https://pokemondb.net/pokedex/Electabuzz
Magmar,2,Raichu,electric,electric,"Static, Lightningrod, Surge Surfer",1,https://pokemondb.net/pokedex/Raichu
Magmar,3,Rapidash,fire,,"Run Away, Flash Fire, Flame Body",1,https://pokemondb.net/pokedex/Rapidash
Magmar,4,Xatu,psychic,flying,"Synchronize, Early Bird, Magic Bounce",2,https://pokemondb.net/pokedex/Xatu
Magmar,5,Simisear,fire,,"Gluttony, Blaze",5,https://pokemondb.net/pokedex/Simisear
Magmar,6,Simipour,water,,"Gluttony, Torrent",5,https://pokemondb.net/pokedex/Simipour
Magmar,7,Simisage,grass,,"Gluttony, Overgrow",5,https://pokemondb.net/pokedex/Simisage
Magmar,8,Stantler,normal,,"Intimidate, Frisk, Sap Sipper",2,https://pokemondb.net/pokedex/Stantler
Magmar,9,Typhlosion,fire,,"Blaze, Flash Fire",2,https://pokemondb.net/pokedex/Typhlosion
Magmar,10,Infernape,fire,fighting,"Blaze, Iron Fist",4,https://pokemondb.net/pokedex/Infernape
Magmortar,1,Vanilluxe,ice,,"Ice Body, Snow Warning, Weak Armor",5,https://pokemondb.net/pokedex/Vanilluxe
Magmortar,2,Tapu Lele,psychic,fairy,"Psychic Surge, Telepathy",7,https://pokemondb.net/pokedex/Tapu Lele
Magmortar,3,Porygon-Z,normal,,"Adaptability, Download, Analytic",4,https://pokemondb.net/pokedex/Porygon-Z
Magmortar,4,Decidueye,grass,ghost,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Decidueye
Magmortar,5,Zapdos,electric,flying,"Pressure, Static",1,https://pokemondb.net/pokedex/Zapdos
Magmortar,6,Moltres,fire,flying,"Pressure, Flame Body",1,https://pokemondb.net/pokedex/Moltres
Magmortar,7,Thundurus,electric,flying,"Prankster, Defiant, Volt Absorb",5,https://pokemondb.net/pokedex/Thundurus
Magmortar,8,Hydreigon,dark,dragon,Levitate,5,https://pokemondb.net/pokedex/Hydreigon
Magmortar,9,Glalie,ice,,"Inner Focus, Ice Body, Moody",3,https://pokemondb.net/pokedex/Glalie
Magmortar,10,Kingdra,water,dragon,"Swift Swim, Sniper, Damp",2,https://pokemondb.net/pokedex/Kingdra
Magnemite,1,Omanyte,rock,water,"Swift Swim, Shell Armor, Weak Armor",1,https://pokemondb.net/pokedex/Omanyte
Magnemite,2,Vanillite,ice,,"Ice Body, Snow Cloak, Weak Armor",5,https://pokemondb.net/pokedex/Vanillite
Magnemite,3,Oddish,grass,poison,"Chlorophyll, Run Away",1,https://pokemondb.net/pokedex/Oddish
Magnemite,4,Clamperl,water,,"Shell Armor, Rattled",3,https://pokemondb.net/pokedex/Clamperl
Magnemite,5,Petilil,grass,,"Chlorophyll, Own Tempo, Leaf Guard",5,https://pokemondb.net/pokedex/Petilil
Magnemite,6,Chingling,psychic,,Levitate,4,https://pokemondb.net/pokedex/Chingling
Magnemite,7,Lampent,ghost,fire,"Flash Fire, Flame Body, Infiltrator",5,https://pokemondb.net/pokedex/Lampent
Magnemite,8,Horsea,water,,"Swift Swim, Sniper, Damp",1,https://pokemondb.net/pokedex/Horsea
Magnemite,9,Bulbasaur,grass,poison,"Overgrow, Chlorophyll",1,https://pokemondb.net/pokedex/Bulbasaur
Magnemite,10,Elgyem,psychic,,"Telepathy, Synchronize, Analytic",5,https://pokemondb.net/pokedex/Elgyem
Magneton,1,Pelipper,water,flying,"Keen Eye, Drizzle, Rain Dish",3,https://pokemondb.net/pokedex/Pelipper
Magneton,2,Gorebyss,water,,"Swift Swim, Hydration",3,https://pokemondb.net/pokedex/Gorebyss
Magneton,3,Chandelure,ghost,fire,"Flash Fire, Flame Body, Infiltrator",5,https://pokemondb.net/pokedex/Chandelure
Magneton,4,Clawitzer,water,,Mega Launcher,6,https://pokemondb.net/pokedex/Clawitzer
Magneton,5,Glaceon,ice,,"Snow Cloak, Ice Body",4,https://pokemondb.net/pokedex/Glaceon
Magneton,6,Omastar,rock,water,"Swift Swim, Shell Armor, Weak Armor",1,https://pokemondb.net/pokedex/Omastar
Magneton,7,Magnezone,electric,steel,"Magnet Pull, Sturdy, Analytic",4,https://pokemondb.net/pokedex/Magnezone
Magneton,8,Chimecho,psychic,,Levitate,3,https://pokemondb.net/pokedex/Chimecho
Magneton,9,Brionne,water,,"Torrent, Liquid Voice",7,https://pokemondb.net/pokedex/Brionne
Magneton,10,Klefki,steel,fairy,"Prankster, Magician",6,https://pokemondb.net/pokedex/Klefki
Magnezone,1,Glaceon,ice,,"Snow Cloak, Ice Body",4,https://pokemondb.net/pokedex/Glaceon
Magnezone,2,Clawitzer,water,,Mega Launcher,6,https://pokemondb.net/pokedex/Clawitzer
Magnezone,3,Omastar,rock,water,"Swift Swim, Shell Armor, Weak Armor",1,https://pokemondb.net/pokedex/Omastar
Magnezone,4,Gorebyss,water,,"Swift Swim, Hydration",3,https://pokemondb.net/pokedex/Gorebyss
Magnezone,5,Vikavolt,bug,electric,Levitate,7,https://pokemondb.net/pokedex/Vikavolt
Magnezone,6,Vileplume,grass,poison,"Chlorophyll, Effect Spore",1,https://pokemondb.net/pokedex/Vileplume
Magnezone,7,Porygon2,normal,,"Trace, Download, Analytic",2,https://pokemondb.net/pokedex/Porygon2
Magnezone,8,Chandelure,ghost,fire,"Flash Fire, Flame Body, Infiltrator",5,https://pokemondb.net/pokedex/Chandelure
Magnezone,9,Empoleon,water,steel,"Torrent, Defiant",4,https://pokemondb.net/pokedex/Empoleon
Magnezone,10,Magneton,electric,steel,"Magnet Pull, Sturdy, Analytic",1,https://pokemondb.net/pokedex/Magneton
Makuhita,1,Bidoof,normal,,"Simple, Unaware, Moody",4,https://pokemondb.net/pokedex/Bidoof
Makuhita,2,Wooper,water,ground,"Damp, Water Absorb, Unaware",2,https://pokemondb.net/pokedex/Wooper
Makuhita,3,Machop,fighting,,"Guts, No Guard, Steadfast",1,https://pokemondb.net/pokedex/Machop
Makuhita,4,Whismur,normal,,"Soundproof, Rattled",3,https://pokemondb.net/pokedex/Whismur
Makuhita,5,Timburr,fighting,,"Guts, Sheer Force, Iron Fist",5,https://pokemondb.net/pokedex/Timburr
Makuhita,6,Wurmple,bug,,"Shield Dust, Run Away",3,https://pokemondb.net/pokedex/Wurmple
Makuhita,7,Slakoth,normal,,Truant,3,https://pokemondb.net/pokedex/Slakoth
Makuhita,8,Yungoos,normal,,"Stakeout, Strong Jaw, Adaptability",7,https://pokemondb.net/pokedex/Yungoos
Makuhita,9,Snubbull,fairy,,"Intimidate, Run Away, Rattled",2,https://pokemondb.net/pokedex/Snubbull
Makuhita,10,Gible,dragon,ground,"Sand Veil, Rough Skin",4,https://pokemondb.net/pokedex/Gible
Malamar,1,Nidoqueen,poison,ground,"Poison Point, Rivalry, Sheer Force",1,https://pokemondb.net/pokedex/Nidoqueen
Malamar,2,Garbodor,poison,,"Stench, Weak Armor, Aftermath",5,https://pokemondb.net/pokedex/Garbodor
Malamar,3,Solrock,rock,psychic,Levitate,3,https://pokemondb.net/pokedex/Solrock
Malamar,4,Poliwrath,water,fighting,"Water Absorb, Damp, Swift Swim",1,https://pokemondb.net/pokedex/Poliwrath
Malamar,5,Feraligatr,water,,"Torrent, Sheer Force",2,https://pokemondb.net/pokedex/Feraligatr
Malamar,6,Trevenant,ghost,grass,"Natural Cure, Frisk, Harvest",6,https://pokemondb.net/pokedex/Trevenant
Malamar,7,Lycanroc,rock,,"Keen Eye, Sand Rush, Steadfast, Keen Eye, Vital Spirit, No Guard",7,https://pokemondb.net/pokedex/Lycanroc
Malamar,8,Zweilous,dark,dragon,Hustle,5,https://pokemondb.net/pokedex/Zweilous
Malamar,9,Dartrix,grass,flying,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Dartrix
Malamar,10,Stoutland,normal,,"Intimidate, Sand Rush, Scrappy",5,https://pokemondb.net/pokedex/Stoutland
Mamoswine,1,Braviary,normal,flying,"Keen Eye, Sheer Force, Defiant",5,https://pokemondb.net/pokedex/Braviary
Mamoswine,2,Krookodile,ground,dark,"Intimidate, Moxie, Anger Point",5,https://pokemondb.net/pokedex/Krookodile
Mamoswine,3,Bewear,normal,fighting,"Fluffy, Klutz, Unnerve",7,https://pokemondb.net/pokedex/Bewear
Mamoswine,4,Excadrill,ground,steel,"Sand Rush, Sand Force, Mold Breaker",5,https://pokemondb.net/pokedex/Excadrill
Mamoswine,5,Pangoro,fighting,dark,"Iron Fist, Mold Breaker, Scrappy",6,https://pokemondb.net/pokedex/Pangoro
Mamoswine,6,Passimian,fighting,,"Receiver, Defiant",7,https://pokemondb.net/pokedex/Passimian
Mamoswine,7,Lycanroc,rock,,"Keen Eye, Sand Rush, Steadfast, Keen Eye, Vital Spirit, No Guard",7,https://pokemondb.net/pokedex/Lycanroc
Mamoswine,8,Ursaring,normal,,"Guts, Quick Feet, Unnerve",2,https://pokemondb.net/pokedex/Ursaring
Mamoswine,9,Beartic,ice,,"Snow Cloak, Slush Rush, Swift Swim",5,https://pokemondb.net/pokedex/Beartic
Mamoswine,10,Crabominable,fighting,ice,"Hyper Cutter, Iron Fist, Anger Point",7,https://pokemondb.net/pokedex/Crabominable
Manaphy,1,Jirachi,steel,psychic,Serene Grace,3,https://pokemondb.net/pokedex/Jirachi
Manaphy,2,Victini,psychic,fire,Victory Star,5,https://pokemondb.net/pokedex/Victini
Manaphy,3,Celebi,psychic,grass,Natural Cure,2,https://pokemondb.net/pokedex/Celebi
Manaphy,4,Mew,psychic,,Synchronize,1,https://pokemondb.net/pokedex/Mew
Manaphy,5,Silvally,normal,,RKS System,7,https://pokemondb.net/pokedex/Silvally
Manaphy,6,Hydreigon,dark,dragon,Levitate,5,https://pokemondb.net/pokedex/Hydreigon
Manaphy,7,Mesprit,psychic,,Levitate,4,https://pokemondb.net/pokedex/Mesprit
Manaphy,8,Zapdos,electric,flying,"Pressure, Static",1,https://pokemondb.net/pokedex/Zapdos
Manaphy,9,Arcanine,fire,,"Intimidate, Flash Fire, Justified",1,https://pokemondb.net/pokedex/Arcanine
Manaphy,10,Moltres,fire,flying,"Pressure, Flame Body",1,https://pokemondb.net/pokedex/Moltres
Mandibuzz,1,Swalot,poison,,"Liquid Ooze, Sticky Hold, Gluttony",3,https://pokemondb.net/pokedex/Swalot
Mandibuzz,2,Tropius,grass,flying,"Chlorophyll, Solar Power, Harvest",3,https://pokemondb.net/pokedex/Tropius
Mandibuzz,3,Lickilicky,normal,,"Own Tempo, Oblivious, Cloud Nine",4,https://pokemondb.net/pokedex/Lickilicky
Mandibuzz,4,Walrein,ice,water,"Thick Fat, Ice Body, Oblivious",3,https://pokemondb.net/pokedex/Walrein
Mandibuzz,5,Azumarill,water,fairy,"Thick Fat, Huge Power, Sap Sipper",2,https://pokemondb.net/pokedex/Azumarill
Mandibuzz,6,Whiscash,water,ground,"Oblivious, Anticipation, Hydration",3,https://pokemondb.net/pokedex/Whiscash
Mandibuzz,7,Jellicent,water,ghost,"Water Absorb, Cursed Body, Damp",5,https://pokemondb.net/pokedex/Jellicent
Mandibuzz,8,Lapras,water,ice,"Water Absorb, Shell Armor, Hydration",1,https://pokemondb.net/pokedex/Lapras
Mandibuzz,9,Seismitoad,water,ground,"Swift Swim, Poison Touch, Water Absorb",5,https://pokemondb.net/pokedex/Seismitoad
Mandibuzz,10,Clefable,fairy,,"Cute Charm, Magic Guard, Unaware",1,https://pokemondb.net/pokedex/Clefable
Manectric,1,Pidgeot,normal,flying,"Keen Eye, Tangled Feet, Big Pecks",1,https://pokemondb.net/pokedex/Pidgeot
Manectric,2,Darkrai,dark,,Bad Dreams,4,https://pokemondb.net/pokedex/Darkrai
Manectric,3,Houndoom,dark,fire,"Early Bird, Flash Fire, Unnerve",2,https://pokemondb.net/pokedex/Houndoom
Manectric,4,Sceptile,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Sceptile
Manectric,5,Tornadus,flying,,"Prankster, Defiant, Regenerator",5,https://pokemondb.net/pokedex/Tornadus
Manectric,6,Gengar,ghost,poison,Cursed Body,1,https://pokemondb.net/pokedex/Gengar
Manectric,7,Keldeo,water,fighting,Justified,5,https://pokemondb.net/pokedex/Keldeo
Manectric,8,Raikou,electric,,"Pressure, Inner Focus",2,https://pokemondb.net/pokedex/Raikou
Manectric,9,Shaymin,grass,grass,"Natural Cure, Serene Grace",4,https://pokemondb.net/pokedex/Shaymin
Manectric,10,Zapdos,electric,flying,"Pressure, Static",1,https://pokemondb.net/pokedex/Zapdos
Mankey,1,Riolu,fighting,,"Steadfast, Inner Focus, Prankster",4,https://pokemondb.net/pokedex/Riolu
Mankey,2,Doduo,normal,flying,"Run Away, Early Bird, Tangled Feet",1,https://pokemondb.net/pokedex/Doduo
Mankey,3,Sandile,ground,dark,"Intimidate, Moxie, Anger Point",5,https://pokemondb.net/pokedex/Sandile
Mankey,4,Karrablast,bug,,"Swarm, Shed Skin, No Guard",5,https://pokemondb.net/pokedex/Karrablast
Mankey,5,Pikipek,normal,flying,"Keen Eye, Skill Link, Pickup",7,https://pokemondb.net/pokedex/Pikipek
Mankey,6,Rockruff,rock,,"Keen Eye, Vital Spirit, Steadfast",7,https://pokemondb.net/pokedex/Rockruff
Mankey,7,Anorith,rock,bug,"Battle Armor, Swift Swim",3,https://pokemondb.net/pokedex/Anorith
Mankey,8,Drilbur,ground,,"Sand Rush, Sand Force, Mold Breaker",5,https://pokemondb.net/pokedex/Drilbur
Mankey,9,Trumbeak,normal,flying,"Keen Eye, Skill Link, Pickup",7,https://pokemondb.net/pokedex/Trumbeak
Mankey,10,Spearow,normal,flying,"Keen Eye, Sniper",1,https://pokemondb.net/pokedex/Spearow
Mantine,1,Milotic,water,,"Marvel Scale, Competitive, Cute Charm",3,https://pokemondb.net/pokedex/Milotic
Mantine,2,Grumpig,psychic,,"Thick Fat, Own Tempo, Gluttony",3,https://pokemondb.net/pokedex/Grumpig
Mantine,3,Sylveon,fairy,,"Cute Charm, Pixilate",6,https://pokemondb.net/pokedex/Sylveon
Mantine,4,Oranguru,normal,psychic,"Inner Focus, Telepathy, Symbiosis",7,https://pokemondb.net/pokedex/Oranguru
Mantine,5,Hypno,psychic,,"Insomnia, Forewarn, Inner Focus",1,https://pokemondb.net/pokedex/Hypno
Mantine,6,Florges,fairy,,"Flower Veil, Symbiosis",6,https://pokemondb.net/pokedex/Florges
